Time,Altitude,Vertical Velocity,Horizontal Velocity,Total Velocity,Drag,Displacement
49,4132.831696539566,167.5911639999651,19.672244058915265,168.74180109616205,198911.19394294193,250.81722235628635
50,4304.206015435115,171.3743188955484,20.924047260930774,172.64696038647998,201456.9156177028,271.74126961721714
51,4479.405493079044,175.19947764392936,22.231606047152212,176.60436368941023,203783.6369060095,293.9728756643693
52,4658.474798148191,179.0693050691468,23.596671615262945,180.6173273228948,205890.6681218975,317.5695472796323
53,4841.461292181177,182.98649403298555,25.021056818726,184.68922622288983,207777.66587190065,342.59060409835826
54,5028.415053909258,186.95376172808156,26.506638960062823,188.82349147613868,209444.59570194065,369.0972430584211
55,5219.388900120343,190.9738462110856,28.055362640956,193.02360816638705,210891.6988579438,397.1526056993771
56,5414.43840325371,195.04950313336656,29.66924267048771,197.29311349667898,212119.4632041731,426.8218483698648
57,5613.621905879039,199.1835026253289,31.350367032021566,201.63559514911267,213128.59828872487,458.1722154018864
58,5817.000532168545,203.3786262895058,33.10089990833341,206.0546898426434,213920.01449955124,491.2731153102198
59,6024.638196425652,207.6376642571068,34.92308476360051,210.55408204913203,214494.80621579505,526.1962000738203
60,6236.6016086882455,211.96341226259364,36.819247479772685,215.13750282779378,214854.23882719668,563.0154475535929
61,6452.9602773793285,216.35866869108287,38.791799543675374,219.80872873845217,214999.73946789018,601.8072470972683
62,6673.786508933222,220.82623155389345,40.84324127993793,224.57158079450969,214932.8912890956,642.6504883772062
63,6899.155404281567,225.36889534834478,42.976165123502994,229.42992341727305,214655.43107714792,685.6266535007092
64,7129.144852040511,229.98944775894378,45.19325892405938,234.3876633541983,214169.25000814852,730.8199124247685
65,7363.835518198881,234.69066615837022,47.49730927325541,239.4487485247289,213476.39731752017,778.3172216980239
66,7603.310832067053,239.4753138681717,49.891204843999205,244.61716675868283,212579.08665122627,828.2084265420231
67,7847.656968207872,244.34613614081854,52.37793972954325,249.89694439360215,211479.70485479568,880.5863662715664
68,8096.962824034623,249.30585582675158,54.96061676839294,255.29214469910977,210180.82294608373,935.5469830399593
69,8351.319992726922,254.3571686922981,57.642450839383535,260.80686609813966,208685.209007512,993.1894338793428
70,8610.822731083772,259.5027383568507,60.42677210955149,266.4452401569294,206995.84272306215,1053.6162059888943
71,8875.567921904294,264.7451908205219,63.31702921570071,272.21142931790433,205115.93127436613,1116.9332352045951
72,9145.65503046092,270.0871085566263,66.31679235885193,278.1096243520636,203048.92629872923,1183.250027563447
73,9421.18605460775,275.5310241468284,69.4297562890873,284.144041510221,200798.54159985806,1252.6797838525342
74,9702.265468048394,281.0794134406449,72.65974315668791,290.3189193554785,198368.77128953597,1325.3395270092221
75,9989.000156273627,286.7346882252326,76.01070520394015,296.6385152626369,195763.90802571172,1401.3502322131624
76,10281.499344669666,292.4991883960389,79.48672727058981,303.1071015739001,192988.56099972452,1480.8369594837523
77,10579.874518293618,298.3751736239515,83.09202908468727,309.72896140421506,190047.67331310787,1563.9289885684395
78,10884.239332813684,304.3648145200666,86.83096730953208,316.50838409391866,186946.53837305796,1650.7599558779716
79,11194.709516118772,310.4701833050867,90.70803731663248,323.449660311044,183690.81492582828,1741.467993194604
80,11511.402760115425,316.6932439966531,94.72787465408781,330.5570768106534,180286.5403396666,1836.195867848692
81,11834.438602250002,323.03584213457725,98.89525617962411,337.83491086391444,176740.1417441763,1935.091124028316
